,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
0,20,Zakamensk,50.37,103.29,72.72,22,12,1.9,RU,1587953091,Khostel Zakamensk
1,80,Khovd,48.01,91.64,65.52,12,5,2.59,MN,1587952848,Hotel Khovd
2,161,Ulaangom,49.98,92.07,64.62,19,97,3.98,MN,1587953148,Achit Nuur Hotel & Restaurant
3,168,Āsosa,10.07,34.53,69.62,31,90,2.86,ET,1587953151,Blendana Hotel Assosa
4,181,Kutum,14.2,24.67,69.49,18,47,5.59,SD,1587953156,Dibbo areaمنطقة دبو
5,198,Xining,36.62,101.77,57.2,12,0,1.52,CN,1587953163,Super Leisure Hotel
6,229,Tumut,-35.3,148.22,65.34,37,1,3.78,AU,1587953177,Comfort Inn Sovereign Gundagai
7,256,Pingdu,36.78,119.95,62.6,29,0,4.47,CN,1587953188,Duowei Boutique Hotel Pingdu
8,257,Orlik,52.52,99.83,57.63,23,100,1.79,RU,1587953189,Oka
9,284,Huanren,41.26,125.37,55.38,34,43,4.43,CN,1587953200,Dynasty Wunvshan Ice Chateau
11,320,Prieska,-29.66,22.75,64.26,39,84,4.97,ZA,1587953213,Avenue GuestHouse
12,392,Hermiston,45.84,-119.29,71.6,24,1,4.7,US,1587953049,Hilton Garden Inn Tri-Cities/Kennewick
13,451,Predivinsk,57.07,93.44,61.5,38,38,1.21,RU,1587953264,Baza Otdykha Sibirskaya Skazka
14,480,Sayyan,15.17,44.32,59.59,38,10,2.01,YE,1587953273,Albustan Luxurious Suites
15,501,Yinchuan,38.47,106.27,69.71,15,0,4.38,CN,1587953282,JJ Inns - Yinchuan New Moon Square Branch
17,508,Tahe,52.33,124.73,55.85,31,100,6.76,CN,1587953284,塔河宾馆
18,512,Alekseyevsk,57.84,108.35,58.98,31,0,1.05,RU,1587953286,Mayak
19,518,Lanzhou,36.06,103.79,63.0,21,0,2.89,CN,1587953280,Water Holiday Resort
20,544,Hurghada,27.26,33.81,68.0,32,0,5.82,EG,1587953297,Beach Albatros Resort
