,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tiznit Province,29.58,-9.5,54.28,71,77,6.04,MA,1587953084
1,Mazatlán,23.22,-106.42,82.4,45,5,5.82,MX,1587952922
2,Yulara,-25.24,130.99,73.4,53,29,16.11,AU,1587953084
3,Dikson,73.51,80.55,23.34,95,87,12.82,RU,1587953085
4,Sabang,5.89,95.32,83.93,75,90,10.02,ID,1587953086
5,Gamba,-2.65,10.0,77.13,90,30,5.91,GA,1587953086
6,Kaitangata,-46.28,169.85,55.99,70,80,3.0,NZ,1587953086
7,Bredasdorp,-34.53,20.04,60.8,82,100,9.17,ZA,1587953087
8,Westport,41.14,-73.36,44.6,87,90,16.11,US,1587952985
9,Busselton,-33.65,115.33,64.99,54,1,7.14,AU,1587953087
10,Bluff,-46.6,168.33,55.99,77,18,15.01,NZ,1587952864
11,Bathsheba,13.22,-59.52,78.8,74,40,20.8,BB,1587953088
12,Cherskiy,68.75,161.3,32.29,97,99,15.97,RU,1587953088
13,Tuktoyaktuk,69.45,-133.04,21.2,73,90,9.17,CA,1587953089
14,Sandovo,58.46,36.41,33.58,85,100,2.46,RU,1587953089
15,Leningradskiy,69.38,178.42,21.9,94,4,5.75,RU,1587953089
16,Arraial do Cabo,-22.97,-42.03,75.11,75,0,9.93,BR,1587953028
17,Tiszaújváros,47.93,21.08,33.8,80,2,2.01,HU,1587953090
18,Samarai,-10.62,150.67,83.05,80,89,7.87,PG,1587953090
19,Cabo San Lucas,22.89,-109.91,89.6,22,5,11.41,MX,1587953091
20,Zakamensk,50.37,103.29,72.72,22,12,1.9,RU,1587953091
21,Saint-Philippe,-21.36,55.77,75.2,73,20,8.05,RE,1587953092
22,Rikitea,-23.12,-134.97,75.34,80,6,16.26,PF,1587953092
23,Jamestown,42.1,-79.24,39.99,93,90,12.75,US,1587953093
24,Zalesovo,53.99,84.74,57.43,36,42,7.7,RU,1587953093
25,Harare,-17.83,31.05,51.35,62,0,4.36,ZW,1587952889
26,Mar del Plata,-38.0,-57.56,61.0,77,71,13.87,AR,1587952971
27,Sault Ste. Marie,46.52,-84.33,46.4,45,1,8.59,CA,1587952930
28,Albion,42.24,-84.75,51.8,23,1,6.44,US,1587952984
29,Caravelas,-17.71,-39.25,74.3,74,12,12.44,BR,1587953095
30,Santa Maria,-29.68,-53.81,69.8,83,75,11.41,BR,1587953095
31,Kaduqli,11.02,29.72,76.48,15,100,6.06,SD,1587953096
32,Tazovsky,67.47,78.7,25.77,97,100,8.1,RU,1587953096
33,Nome,64.5,-165.41,33.8,69,1,5.82,US,1587953097
34,Lagoa,39.05,-27.98,57.47,62,100,9.08,PT,1587953097
35,Hithadhoo,-0.6,73.08,84.76,76,23,10.69,MV,1587952930
36,Puerto Nariño,-3.77,-70.38,75.2,100,97,0.27,CO,1587952911
37,Hambantota,6.12,81.12,84.38,73,32,5.7,LK,1587953098
38,Grajaú,-5.82,-46.14,72.64,89,16,2.62,BR,1587953099
39,Albany,42.6,-73.97,39.2,86,90,11.41,US,1587953100
40,Roald,62.58,6.13,42.01,75,9,23.04,NO,1587953100
41,Alta Floresta,-9.88,-56.09,71.58,89,70,2.1,BR,1587952837
42,Iqaluit,63.75,-68.51,21.2,73,90,12.75,CA,1587953101
43,Ust-Nera,64.57,143.2,31.12,77,76,7.09,RU,1587953101
44,Ushuaia,-54.8,-68.3,39.2,69,67,6.93,AR,1587953102
45,São José da Coroa Grande,-8.9,-35.15,78.91,81,100,4.76,BR,1587953102
46,Posadas,-27.37,-55.9,73.8,73,90,4.07,AR,1587953103
47,Safi,32.3,-9.24,60.67,73,0,4.34,MA,1587953104
48,Hilo,19.73,-155.09,82.4,58,1,11.41,US,1587953104
49,Mataura,-46.19,168.86,55.99,77,66,15.01,NZ,1587953104
50,George Town,5.41,100.34,82.4,88,20,4.7,MY,1587952930
51,Loa Janan,-0.58,117.09,90.03,49,90,2.91,ID,1587953105
52,Cervo,43.67,-7.41,53.01,1,99,9.82,ES,1587953106
53,Pisco,-13.7,-76.22,68.0,77,45,18.34,PE,1587953106
54,Ambulu,-8.35,113.61,83.21,71,14,2.04,ID,1587953106
55,Chara,56.91,118.26,44.49,41,0,2.77,RU,1587953107
56,Tessalit,20.2,1.01,80.11,14,0,9.35,ML,1587953107
57,Alcalá la Real,37.46,-3.92,53.6,81,90,3.36,ES,1587953108
58,East London,-33.02,27.91,66.2,81,74,17.34,ZA,1587953108
59,Vila Franca do Campo,37.72,-25.43,55.4,66,20,5.82,PT,1587953109
60,Hofn,64.25,-15.21,34.5,80,50,4.88,IS,1587953109
61,Rome,43.21,-75.46,42.8,87,90,4.7,US,1587953109
62,Husavik,66.04,-17.34,30.2,92,0,2.24,IS,1587953110
63,Baloži,56.88,24.12,33.8,86,40,3.36,LV,1587952865
64,Taltal,-25.4,-70.48,62.73,71,0,3.2,CL,1587952851
65,Port Alfred,-33.59,26.89,66.0,83,100,8.01,ZA,1587953111
66,Launceston,-41.45,147.17,63.0,63,40,20.8,AU,1587953078
67,Ekibastuz,51.67,75.37,54.7,53,100,18.3,KZ,1587953112
68,Port Blair,11.67,92.75,86.13,69,89,5.59,IN,1587953112
69,Punta Arenas,-53.15,-70.92,32.0,74,15,5.82,CL,1587953113
70,Luganville,-15.53,167.17,77.0,94,90,4.7,VU,1587953113
71,Avarua,-21.21,-159.78,82.4,74,55,6.93,CK,1587952928
72,Puerto Ayora,-0.74,-90.35,79.0,87,16,5.01,EC,1587953114
73,Vardø,70.37,31.11,32.43,95,100,18.07,NO,1587953114
74,Guerrero Negro,27.98,-114.06,68.43,69,1,16.2,MX,1587953114
75,Dingle,11.0,122.67,88.84,59,100,14.25,PH,1587953115
76,Tevriz,57.51,72.4,54.32,44,56,7.54,RU,1587953115
77,Santa Cruz de la Sierra,-17.8,-63.17,75.2,83,40,3.36,BO,1587953044
78,Lavrentiya,65.58,-171.0,23.52,92,50,6.73,RU,1587953116
79,Mponela,-13.53,33.74,57.69,63,28,3.51,MW,1587953116
80,Khovd,48.01,91.64,65.52,12,5,2.59,MN,1587952848
81,Les Cayes,18.2,-73.75,79.84,75,19,7.92,HT,1587953117
82,Gigmoto,13.78,124.39,82.81,74,75,11.32,PH,1587953117
83,Zatoka,46.07,30.47,39.2,55,0,10.4,UA,1587953118
84,Naryan-Mar,67.67,53.09,24.4,95,69,3.8,RU,1587953118
85,Bethel,41.37,-73.41,43.0,86,90,14.99,US,1587953118
86,Sitka,57.05,-135.33,48.2,61,90,25.28,US,1587953119
87,Hermanus,-34.42,19.23,62.01,80,98,8.01,ZA,1587952916
88,Flinders,-34.58,150.86,70.0,64,0,7.25,AU,1587953119
89,Chokurdakh,70.63,147.92,32.52,99,100,11.25,RU,1587953120
90,Zyryanka,65.75,150.85,33.28,98,56,9.01,RU,1587953120
91,Korla,41.76,86.15,75.13,12,0,3.8,CN,1587953121
92,Juneau,58.3,-134.42,46.4,70,90,6.93,US,1587953121
93,Forsytheganj,52.63,29.73,36.91,78,88,6.44,BY,1587953121
94,Katherine,-14.47,132.27,93.2,28,0,20.8,AU,1587953122
95,Berlin,52.52,13.41,48.0,75,7,2.24,DE,1587953004
96,Cape Town,-33.93,18.42,64.0,81,58,5.01,ZA,1587953123
97,Saint Paul Harbor,57.79,-152.41,51.8,74,90,13.87,US,1587953123
98,Varkala,8.73,76.71,78.8,88,20,3.36,IN,1587953124
99,Lima,-12.04,-77.03,69.8,77,93,11.41,PE,1587953124
100,Loukhi,66.08,33.04,27.46,96,51,8.32,RU,1587953125
101,Talnakh,69.49,88.4,24.8,92,40,13.42,RU,1587953125
102,Talas,38.69,35.55,32.0,41,44,5.82,TR,1587953126
103,Pascagoula,30.37,-88.56,64.0,59,1,9.6,US,1587952849
104,Portobelo,9.55,-79.65,82.0,78,34,2.24,PA,1587953126
105,Ballina,-28.87,153.57,75.2,73,75,10.29,AU,1587953127
106,Poum,-20.23,164.02,77.07,72,88,14.16,NC,1587953127
107,Yellowknife,62.46,-114.35,21.2,34,20,3.36,CA,1587953127
108,Hong Kong,22.29,114.16,79.0,65,20,6.93,HK,1587953002
109,Naze,28.37,129.48,69.8,73,100,3.36,JP,1587953128
